Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,1470.000000,1498.050049,1459.300049,1467.949951,1437.698120,3615176
2023-07-04,1487.000000,1487.000000,1462.099976,1464.449951,1434.270142,1595700
2023-07-05,1463.949951,1478.000000,1457.099976,1475.349976,1444.945679,1456527
2023-07-06,1477.849976,1552.900024,1472.650024,1548.800049,1516.881958,5628945
2023-07-07,1546.900024,1591.949951,1539.300049,1564.150024,1531.915527,6905845
2023-07-10,1567.000000,1579.000000,1545.949951,1551.400024,1519.428345,2276342
2023-07-11,1558.250000,1576.000000,1550.400024,1569.449951,1537.106323,1563376
2023-07-12,1569.000000,1579.650024,1541.650024,1570.849976,1538.477539,2658457
2023-07-13,1576.000000,1594.800049,1558.449951,1566.900024,1550.650024,1859405
2023-07-14,1562.699951,1566.900024,1542.699951,1546.550049,1546.550049,2174792
2023-07-17,1559.000000,1559.000000,1529.500000,1536.300049,1536.300049,1520990
2023-07-18,1536.000000,1542.150024,1526.000000,1534.699951,1534.699951,1059058
2023-07-19,1530.199951,1549.500000,1524.000000,1544.449951,1544.449951,1081196
2023-07-20,1550.050049,1553.750000,1530.550049,1545.349976,1545.349976,1538263
2023-07-21,1548.949951,1552.599976,1518.849976,1523.500000,1523.500000,1668783
2023-07-24,1522.000000,1557.000000,1514.949951,1546.849976,1546.849976,2129706
2023-07-25,1551.449951,1569.500000,1548.050049,1565.750000,1565.750000,1996604
2023-07-26,1570.150024,1574.000000,1532.000000,1544.849976,1544.849976,2100855
2023-07-27,1499.000000,1500.000000,1438.349976,1447.400024,1447.400024,11879512
2023-07-28,1460.000000,1471.000000,1450.000000,1467.800049,1467.800049,4714146
2023-07-31,1476.800049,1479.000000,1457.599976,1475.199951,1475.199951,2460789
2023-08-01,1475.199951,1504.000000,1470.199951,1493.349976,1493.349976,4184243
2023-08-02,1493.349976,1497.000000,1465.250000,1485.300049,1485.300049,3188395
2023-08-03,1485.000000,1501.550049,1447.599976,1469.150024,1469.150024,2222395
2023-08-04,1481.000000,1502.449951,1415.750000,1464.650024,1464.650024,8066091
2023-08-07,1489.000000,1531.000000,1480.750000,1526.900024,1526.900024,9257291
2023-08-08,1530.000000,1534.000000,1485.000000,1499.699951,1499.699951,3426948
2023-08-09,1505.000000,1537.550049,1492.250000,1534.750000,1534.750000,3713003
2023-08-10,1534.500000,1556.050049,1531.800049,1545.400024,1545.400024,3600607
2023-08-11,1548.550049,1559.599976,1533.050049,1546.449951,1546.449951,2402812
2023-08-14,1544.949951,1550.750000,1524.000000,1546.849976,1546.849976,1875450
2023-08-16,1559.050049,1573.000000,1538.599976,1570.599976,1570.599976,2361632
2023-08-17,1573.000000,1579.050049,1560.150024,1573.500000,1573.500000,2377711
2023-08-18,1568.750000,1582.550049,1544.599976,1552.650024,1552.650024,2202570
2023-08-21,1546.000000,1552.650024,1531.750000,1538.550049,1538.550049,1487526
2023-08-22,1538.000000,1555.000000,1534.750000,1550.500000,1550.500000,975607
2023-08-23,1546.050049,1554.849976,1536.099976,1542.449951,1542.449951,1405076
2023-08-24,1550.050049,1554.949951,1528.050049,1542.199951,1542.199951,2111147
2023-08-25,1530.900024,1547.250000,1508.199951,1520.050049,1520.050049,1455320
2023-08-28,1528.000000,1553.000000,1524.099976,1549.250000,1549.250000,2132512
2023-08-29,1554.900024,1564.349976,1540.000000,1560.849976,1560.849976,1325882
2023-08-30,1569.000000,1589.000000,1559.800049,1583.199951,1583.199951,3140040
2023-08-31,1588.949951,1590.000000,1567.150024,1575.400024,1575.400024,3512885
2023-09-01,1577.000000,1604.500000,1575.000000,1591.949951,1591.949951,2147299
2023-09-04,1605.900024,1605.900024,1564.199951,1576.400024,1576.400024,2200142
2023-09-05,1577.599976,1584.099976,1565.250000,1571.150024,1571.150024,1078759
2023-09-06,1577.000000,1580.900024,1558.699951,1577.000000,1577.000000,1301466
2023-09-07,1572.199951,1577.900024,1560.250000,1565.750000,1565.750000,1514369
2023-09-08,1565.099976,1578.000000,1560.000000,1567.550049,1567.550049,1223910
2023-09-11,1567.650024,1589.000000,1564.000000,1582.099976,1582.099976,1921950
2023-09-12,1582.199951,1589.449951,1513.050049,1557.949951,1557.949951,3770868
2023-09-13,1564.000000,1568.599976,1530.099976,1536.949951,1536.949951,2382637
2023-09-14,1545.000000,1575.400024,1538.349976,1566.000000,1566.000000,2220196
2023-09-15,1579.650024,1610.699951,1571.849976,1601.099976,1601.099976,5425897
2023-09-18,1608.750000,1670.000000,1602.099976,1641.449951,1641.449951,6887528
2023-09-20,1620.099976,1665.000000,1620.099976,1634.000000,1634.000000,6116670
2023-09-21,1637.800049,1656.199951,1575.099976,1583.250000,1583.250000,2898266
2023-09-22,1580.000000,1617.949951,1566.099976,1607.150024,1607.150024,3827771
2023-09-25,1612.949951,1620.000000,1582.349976,1589.449951,1589.449951,3231962
2023-09-26,1589.449951,1606.599976,1582.000000,1595.199951,1595.199951,1479841
2023-09-27,1594.849976,1599.599976,1583.250000,1589.199951,1589.199951,1991198
2023-09-28,1595.949951,1596.900024,1544.000000,1556.050049,1556.050049,2369699
2023-09-29,1574.000000,1576.500000,1550.099976,1554.250000,1554.250000,1254881
2023-10-03,1597.199951,1598.000000,1533.050049,1537.400024,1537.400024,3436776
2023-10-04,1531.800049,1537.900024,1501.750000,1522.099976,1522.099976,2580901
2023-10-05,1533.000000,1550.800049,1513.050049,1537.949951,1537.949951,1991367
2023-10-06,1545.000000,1554.000000,1540.349976,1548.849976,1548.849976,1743027
2023-10-09,1540.000000,1541.250000,1514.000000,1515.199951,1515.199951,2123175
2023-10-10,1521.449951,1543.849976,1519.199951,1537.849976,1537.849976,1956653
2023-10-11,1540.000000,1559.150024,1540.000000,1556.300049,1556.300049,1536986
2023-10-12,1559.000000,1570.050049,1555.599976,1566.650024,1566.650024,1731806
2023-10-13,1560.500000,1574.400024,1550.300049,1562.449951,1562.449951,1465554
2023-10-16,1562.849976,1577.250000,1558.500000,1574.550049,1574.550049,1089610
2023-10-17,1575.000000,1583.900024,1568.599976,1576.599976,1576.599976,997962
2023-10-18,1576.599976,1579.449951,1561.750000,1574.849976,1574.849976,1212994
2023-10-19,1553.349976,1578.900024,1553.349976,1569.550049,1569.550049,1239578
2023-10-20,1566.000000,1575.000000,1545.099976,1558.250000,1558.250000,1435102
2023-10-23,1548.250000,1574.900024,1546.500000,1565.150024,1565.150024,4069167
2023-10-25,1574.000000,1576.599976,1547.000000,1569.099976,1569.099976,2510769
2023-10-26,1554.000000,1558.199951,1500.000000,1506.099976,1506.099976,3343802
2023-10-27,1508.349976,1533.949951,1507.300049,1510.800049,1510.800049,3341111
2023-10-30,1502.099976,1515.449951,1463.199951,1497.800049,1497.800049,2637486
2023-10-31,1494.199951,1497.300049,1455.550049,1458.599976,1458.599976,2555737
2023-11-01,1464.900024,1485.000000,1450.000000,1454.599976,1454.599976,2627536
2023-11-02,1465.000000,1477.500000,1452.500000,1469.699951,1469.699951,2091122
2023-11-03,1480.000000,1488.099976,1460.449951,1469.000000,1469.000000,2456723
2023-11-06,1481.800049,1492.199951,1473.550049,1488.300049,1488.300049,1271868
2023-11-07,1488.250000,1497.000000,1475.000000,1479.750000,1479.750000,1940908
2023-11-08,1485.050049,1489.400024,1474.000000,1487.400024,1487.400024,1342202
2023-11-09,1487.400024,1558.699951,1487.400024,1552.050049,1552.050049,4831782
2023-11-10,1550.000000,1551.000000,1515.300049,1524.099976,1524.099976,4872228
2023-11-13,1526.250000,1543.300049,1513.050049,1540.250000,1540.250000,1968032
2023-11-15,1549.000000,1550.800049,1533.550049,1544.150024,1544.150024,2782942
2023-11-16,1544.199951,1583.949951,1538.500000,1569.500000,1569.500000,3224223
2023-11-17,1575.000000,1596.000000,1572.650024,1584.550049,1584.550049,2035309
2023-11-20,1589.800049,1589.800049,1540.599976,1552.199951,1552.199951,2918577
2023-11-21,1553.000000,1571.400024,1549.150024,1559.750000,1559.750000,2213144
2023-11-22,1560.000000,1564.650024,1535.000000,1543.449951,1543.449951,1269475
2023-11-23,1556.599976,1560.949951,1535.099976,1545.849976,1545.849976,1552635
2023-11-24,1549.000000,1559.500000,1547.500000,1553.199951,1553.199951,1239270
2023-11-28,1553.199951,1572.000000,1542.150024,1566.050049,1566.050049,2596766
2023-11-29,1576.000000,1623.400024,1567.250000,1619.099976,1619.099976,3581220
2023-11-30,1615.050049,1660.000000,1613.699951,1647.750000,1647.750000,5214960
2023-12-01,1656.000000,1666.000000,1621.199951,1625.500000,1625.500000,2489755
2023-12-04,1662.849976,1675.000000,1639.449951,1656.849976,1656.849976,3001010
2023-12-05,1660.900024,1708.000000,1640.599976,1686.050049,1686.050049,3423953
2023-12-06,1688.099976,1710.449951,1684.150024,1702.400024,1702.400024,2279220
2023-12-07,1703.000000,1706.000000,1681.650024,1692.650024,1692.650024,2461051
2023-12-08,1699.000000,1708.150024,1662.550049,1668.550049,1668.550049,1942667
2023-12-11,1674.000000,1674.449951,1647.099976,1652.199951,1652.199951,2037178
2023-12-12,1663.000000,1670.000000,1626.500000,1635.400024,1635.400024,2051527
2023-12-13,1639.000000,1670.500000,1629.550049,1666.150024,1666.150024,2247441
2023-12-14,1676.000000,1709.849976,1671.050049,1703.550049,1703.550049,3326228
2023-12-15,1727.900024,1739.599976,1698.000000,1724.949951,1724.949951,3858594
2023-12-18,1720.000000,1731.849976,1698.750000,1710.800049,1710.800049,1739425
2023-12-19,1720.000000,1723.849976,1691.300049,1699.349976,1699.349976,1660221
2023-12-20,1710.000000,1711.949951,1640.599976,1646.949951,1646.949951,3047660
2023-12-21,1635.000000,1653.150024,1620.400024,1633.849976,1633.849976,3211338
2023-12-22,1630.000000,1652.000000,1622.750000,1634.250000,1634.250000,2751274
2023-12-26,1640.900024,1669.000000,1634.500000,1662.250000,1662.250000,1203594
2023-12-27,1670.000000,1691.800049,1660.250000,1687.949951,1687.949951,1793638
2023-12-28,1688.949951,1739.949951,1688.400024,1734.449951,1734.449951,2963938
2023-12-29,1730.000000,1758.000000,1715.000000,1729.400024,1729.400024,2273255
2024-01-01,1729.400024,1730.000000,1699.000000,1703.300049,1703.300049,1307485
2024-01-02,1703.599976,1705.000000,1649.449951,1656.199951,1656.199951,2857334
2024-01-03,1672.000000,1678.199951,1648.050049,1655.250000,1655.250000,1927812
